car_park_id,address,x_coordinate,y_coordinate,parking_system_type,short_term_parking,whole_day_parking,0700to1900_parking,0700to2230_parking,free_parking,night_parking,car_park_basement,0700to1700_motorcars_rate,1700to0700_motorcars_rate,0700to2230_motorcycle_per_lot,22300to0700_motorcycle_per_lot
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,YES,1.6,0.6,0.65,0.65
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,COUPON PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AK31,BLK 302/348 ANG MO KIO STREET 31,29482.029,38684.1754,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AK52,BLK 513 ANG MO KIO STREET 53,29889.3457,39382.8134,COUPON PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31397.2241,39851.6191,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AM14,BLK 227 ANG MO KIO STREET 23,28777.0707,38973.9528,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM18,BLK 308C ANG MO KIO AVENUE 1,29257.6457,38619.9953,ELECTRONIC PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
AM19,BLK 260 ANG MO KIO STREET 21,28134.9305,38989.9965,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM20,BLK 309B ANG MO KIO STREET 31,29421.1502,38526.8611,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM32,BLK 255A ANG MO KIO STREET 21,28117.7689,39172.0389,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AM43,BLK 455 ANG MO KIO STREET 44,30669.2379,38959.5487,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AM51,BLK 700 ANG MO KIO AVENUE 6,29489.025,39103.7605,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM64,BLK 590 ANG MO KIO STREET 51,30201.236,39274.274,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM79,BLK 596 ANG MO KIO STREET 52,30004.2224,39370.6063,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM80,BLK 130A ANG MO KIO STREET 12,28950.7223,39184.6976,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM81,BLK 132A ANG MO KIO STREET 12,28960.3285,39294.4158,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM96,BLK 352A ANG MO KIO STREET 32,29961.0968,38457.9118,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR1L,3 AND 5 DOVER ROAD,22359.0217,31801.6379,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AR1M,BLK 2A DOVER ROAD,22474.205,31687.9608,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR2L,BLK 26 AND 27 DOVER CRESCENT,22194.6359,32026.8288,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AR2M,BLK 28 DOVER CRESCENT,22252.486,31896.9749,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR7L,12 TO 14 DOVER CLOSE EAST,22688.3753,32015.1518,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR9,BLK 20/22/23 DOVER CRESCENT,22448.9368,32178.436,ELECTRONIC PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,24941.5778,29704.4978,COUPON PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,28541.14,38785.36,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A12,BLK 229/230 ANG MO KIO STREET 22,28605.489,38954.8,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A13,BLK 232/233 ANG MO KIO STREET 22,28388.51,38892.03,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A15,BLK 226E-226H ANG MO KIO STREET 22,28790.02,38777.85,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A2,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A20,BLK 304/307/319 ANG MO KIO STREET 31,29684.7366,38554.0251,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A21,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A23,BLK 347A ANG MO KIO AVENUE 3,29735.5099,38818.5301,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A24,BLK 338/340 ANG MO KIO STREET 32,29789.41,38533.02,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A25,BLK 330/337 ANG MO KIO AVENUE 8,30037.566,38313.6296,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A26,BLK 113/114/118 ANG MO KIO AVENUE 4,28236.93,39419.47,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A27,BLK 108/109/110 ANG MO KIO STREET 11,28556.67,39153.3,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A28,BLK 103/105/107 ANG MO KIO STREET 11,28461.3669,39295.5961,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A29,BLK 347 ANG MO KIO AVENUE 3,29713.5035,38806.4544,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A30,BLK 129/134 ANG MO KIO STREET 12,29012.7631,39222.5981,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A30A,BLK 133 ANG MO KIO STREET 12,29049.6606,39137.3556,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
A31,BLK 119/128 ANG MO KIO STREET 12,29155.32,39163.04,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A31A,BLK 125/126 ANG MO KIO STREET 12,29150.6699,39318.7539,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
A33,BLK 253/254 ANG MO KIO STREET 21,28152.8391,39115.4784,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A34,BLK 422/425 ANG MO KIO STREET 42,30042,38931.43,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A35,BLK 426/428/435 ANG MO KIO STREET 43,30310.66,38963.49,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A36,BLK 436/443/445 ANG MO KIO STREET 43,30443.9088,38715.8847,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A37,BLK 446/449/453 ANG MO KIO STREET 43,30474.8188,38904.5192,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A38,BLK 407/410/421 ANG MO KIO AVENUE 10,30367.0774,38445.7028,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A39,BLK 401/405 ANG MO KIO AVENUE 10,30309.63,38134.69,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A4,BLK 217/220 ANG MO KIO AVENUE 1,28876.2363,38636.7578,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A40,BLK 471/476 ANG MO KIO STREET 44,30633.47,38267.95,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A41,BLK 466/470 ANG MO KIO STREET 44,30627.96,38553.32,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A42,BLK 461/465 ANG MO KIO STREET 44,30675.9559,38735.0223,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A43,BLK 457/458/460 ANG MO KIO STREET 44,30887.78,38670.51,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A44,BLK 459/456 ANG MO KIO STREET 44,30856.9781,38804.1956,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A45,BLK 570/578 ANG MO KIO STREET 51,30438.53,39214.64,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A47,BLK 562/565/560 ANG MO KIO STREET 54,30885.475,39174.8899,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A48,BLK 571/73 ANG MO KIO STREET 51,30374.18,39154.22,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A49,BLK 555/559 ANG MO KIO STREET 54,30724.16,39260.19,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A50,BLK 548/552/556 ANG MO KIO STREET 54,30703.29,39392.09,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A51,BLK 252/253A ANG MO KIO STREET 21,28117.6053,39054.6321,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A52,BLK 701/716 ANG MO KIO AVENUE 3/6,29513.9566,39155.7785,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A52L,BLK 700B/ 700C ANG MO KIO AVENUE 3/6,29426.2389,39033.615,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
A53,BLK 712A ANG MO KIO AVENUE 3/6,29508.9218,39208.8091,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A54,BLK 727/728 ANG MO KIO AVENUE 6,29401.8671,39382.3378,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A55,BLK 729/730 ANG MO KIO AVENUE 6/8,29464.1325,39466.0892,ELECTRONIC PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A56,BLK 725/730 ANG MO KIO AVENUE 8,29538.847,39411.5653,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A57,BLK 720/723 ANG MO KIO AVENUE 8,29518.5871,39336.4776,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A58,BLK 721/722 ANG MO KIO AVENUE 8,29603.16,39372.68,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A59,BLK 547/551 ANG MO KIO STREET 54,30762.295,39543.9937,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A60,BLK 540/546 ANG MO KIO STREET 54,30514.5273,39606.8281,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,30096.82,39574.31,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A63,BLK 501/513/508 ANG MO KIO STREET 52/53,29789.5613,39690.0448,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A64,BLK 584/586 ANG MO KIO STREET 51,30241.6957,39172.3075,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A65,BLK 558/560 ANG MO KIO STREET 54,30904.46,39226.97,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A66,BLK 601/604/603 ANG MO KIO AVENUE 5,28260.64,40279.16,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A67,BLK 605/612 ANG MO KIO AVENUE 4/5,28499.27,40184.22,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A68,BLK 620/624/626 ANG MO KIO STREET 61,28727.3335,40428.7342,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A69,BLK 623/625/627 ANG MO KIO STREET 61,28960.06,40400.41,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A7,BLK 212/213 ANG MO KIO STREET 23,28888.4313,38935.4059,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A70,BLK 629/626 ANG MO KIO AVENUE 4,28755.4887,40287.5326,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A71,BLK 628/632 ANG MO KIO STREET 61,28826.1219,40219.911,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A72,BLK 633/640 ANG MO KIO STREET 61,29136.44,40303.05,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A73,BLK 641/645 ANG MO KIO STREET 61,28835.3369,40091.5441,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A74,BLK 646/649 ANG MO KIO STREET 61,29166.97,40069.8164,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A75,BLK 177/182 ANG MO KIO AVENUE 4,28597.1669,39798.961,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A76,BLK 613A ANG MO KIO AVENUE 4,28613.8871,39995.2242,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A77,BLK 150/156 ANG MO KIO AVENUE 5,28741.1744,39815.655,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A78,BLK 157/163 ANG MO KIO AVENUE 4,28564.0295,39632.2729,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A8,BLK 209/210 ANG MO KIO STREET 22,29111.67,38975.61,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A81,BLK 170/172 ANG MO KIO STREET 13,28351.6931,39594.7701,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A82,BLK 173/176 ANG MO KIO AVENUE 4,28342.7741,39740.6593,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31046.8301,39589.4805,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A85,BLK 340 ANG MO KIO STREET 32,29824.1,38572.16,ELECTRONIC PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
A86,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO INDUSTRIAL PARK 1,30582.1,38215.84,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A87,BLK 462/463 ANG MO KIO STREET 44,30733.8638,38762.2439,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A88,BLK 348 ANG MO KIO AVENUE 3,29552.24,38701.9,ELECTRONIC PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
A89,BLK 101/102 ANG MO KIO STREET 11,28673.21,39163.93,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
A9,BLK 202/203 ANG MO KIO STREET 22,29232.3606,38900.2315,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A90,BLK 625/627 ANG MO KIO STREET 61,28882.3578,40440.1317,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A94,BLK 104C ANG MO KIO STREET 11,28556.1477,39318.8058,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A95,BLK 323A ANG MO KIO AVENUE 3,29612.0323,38838.7824,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A98,BLK 259 ANG MO KIO AVENUE 2,27837.0334,39020.7488,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A99,BLK 181 ANG MO KIO AVENUE 5,28433.4999,39885.5496,COUPON PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
BA1,BLK 106 BIDADARI PARK DRIVE,32174.2918,35098.8104,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA10,BLK 213 BIDADARI PARK DRIVE,32401.338,36121.0002,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA2,BLK 117 ALKAFF CRESCENT,32444.5217,35453.6678,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA3,BLK 101 BIDADARI PARK DRIVE,32229.3617,35383.6726,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA4,BLK 113 ALKAFF CRESCENT,32410.3926,35271.7364,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA5,BLK 109 BIDADARI PARK DRIVE,32375.4954,35170.051,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA6,BLK 201 WOODLEIGH LINK,32325.472,35823.9717,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
BA7,BLK 206 WOODLEIGH LINK,32320.0357,35997.2684,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA8,BLK 207 WOODLEIGH LINK,32246.0659,35990.7456,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BA9,BLK 212 BIDADARI PARK DRIVE,32740.6501,36141.8658,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBB,BLK 231 BRAS BASAH BASEMENT CAR PARK,30264.1776,30994.7597,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,YES,1.6,0.6,0.65,0.65
BBM1,BLK 188A BUKIT BATOK WEST AVENUE 6,18213.6562,36507.8169,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM2,BLK 628A BUKIT BATOK CENTRAL,18714.471,36997.6927,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM3,BLK 289H BUKIT BATOK STREET 25,19831.2917,36294.3127,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM4,BLK 288H BUKIT BATOK STREET 25,19860.3631,36409.798,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM5,BLK 290H BUKIT BATOK STREET 24,19610.472,36154.6192,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM6,BLK 291F BUKIT BATOK STREET 24,19289.8168,36112.2533,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM7,BLK 154A BUKIT BATOK WEST AVENUE 8,18025.9428,36609.4062,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BBM8,BLK 622A BUKIT BATOK CENTRAL,18561.8095,36898.4253,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
BBM9,BLK 395A BUKIT BATOK WEST AVENUE 5,18924.8161,38652.2819,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BE10,BLKS 168-180 BISHAN STREET 13,30223.1994,36651.8815,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
BE11,BLK 181-186 BISHAN STREET 13,30194.9243,36877.2792,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
