car_park_id,address,x_coordinate,y_coordinate,parking_system_type,short_term_parking,whole_day_parking,0700to1900_parking,0700to2230_parking,free_parking,night_parking,car_park_basement,0700to1700_motorcars_rate,1700to0700_motorcars_rate,0700to2230_motorcycle_per_lot,22300to0700_motorcycle_per_lot
PM32,BLK 631A PASIR RIS DRIVE 3,39883.2972,40142.5172,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM33,BLK 635A PASIR RIS DRIVE 1,39858.5997,39896.3925,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM34,BLK 649A PASIR RIS DRIVE 10,39728.975,39998.0806,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM35,BLK 700A PASIR RIS DRIVE 10,39721.1068,40304.2524,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM36,BLK 710A PASIR RIS STREET 72,39546.2838,40486.3671,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM37,BLK 718A PASIR RIS STREET 72,39429.3197,40431.9844,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM38,BLK 736A PASIR RIS DRIVE 10,39565.4411,40102.7854,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM4,BLK 231A PASIR RIS DRIVE 4,42258.6513,39567.5489,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM40,BLK 744A PASIR RIS STREET 71,39358.5759,39992.2049,ELECTRONIC PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
PM41,BLK 747A PASIR RIS STREET 71,39214.3187,40090.5883,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM43,BLK 757A PASIR RIS STREET 71,39108.47,39913.5495,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM44,BLK 762A PASIR RIS STREET 71,39126.6463,39773.0358,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM45,BLK 773A PASIR RIS STREET 71,39416.5981,39622.2609,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PM46,BLK 782A PASIR RIS STREET 71,39692.8318,39469.9703,ELECTRONIC PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
PM5,BLK 235A PASIR RIS STREET 21,42388.3371,39530.4506,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
